author,added,deleted,commits
Kristin Laemmert,12822,3869,273
Kristinn ôrn Sigur–sson,152,14,5
Kristiyan Nikolov,21,3,1
Krzysztof Wilczynski,1574,541,53
Kurt Scherer,36,6,2
Kushal Pisavadia,64,1,1
Kyle Havlovitz,9,0,1
Kyle McCullough,31,2,1
Kyle Mott,568,445,3
Kyle Persohn,6,2,1
Lars Bahner,15,0,1
Lars Eric Scheidler,42,0,1
Lars Lehtonen,10,3,4
Lars Wander,5734,1160,61
Laura Martin,6,8,1
Laurent Commarieu,21,1,2
Lee Johnson,9,5,2
Len Smith,558,0,1
Liam Bennett,281,20,4
Linda Xu,188,9,5
Liran Polak,5904,0,2
Long Nguyen,24,2,2
Loren Gordon,1,1,1
Loãc Albertin,39,0,1
Lucas Vasconcelos Santana,24,0,1
Luis Silva,50,8,4
Luke Amdor,104,22,18
Luke Chadwick,63,13,3
Lyle Franklin,37,12,4
Madhu,19,3,4
Malik Bougacha,1,1,1
Malte Brodersen,14,11,1
Manoj,1,0,1
Manuwela Kanade,3,0,1
Marc Rooding,199,0,2
Marc Tamsky,22,0,1
Marc Vieira-Cardinal (VA2MVC),1,1,1
Marcello LaganÖ,53,3,3
Marcin Suterski,168,3,2
Marcus Young,120,2,2
Mark,23,12,1
Mark Freebairn,14,0,1
Mark Peek,94,33,3
Mark Severson,26,16,1
Mark Troyer,3,2,1
Marko Springfeldt,2,2,1
Mars Hall,628,277,19
Martin Atkins,165202,85869,1884
Martin HÑger,89,2,3
Martins Sipenko,32,0,1
Mary Cutrali,1,1,1
Masayuki Morita,310,43,13
Mat Davies,11,0,1
Mat Schaffer,1,1,1
Mateusz Gozdek,1,1,1
Mathieu Herbert,634,2,4
Matt Calthrop,72,16,1
Matt Dainty,715,94,14
Matt Good,130,24,1
Matt Jones,2,2,1
Matt Long,1,0,1
Matt Morrison,1203,200,20
Matt Moyer,19,2,3
Matt Robenolt,17,5,2
Matthew,96,6,2
Matthew Brewer,10,1,1
Matthew Frahry,49,18,5
Matthew Sanabria,6,1,1
Matti Savolainen,2,2,1
Mattias Gees,2,0,2
Max Englander,1038,95,10
Max T,5,1,1
Maxime Bury,338,91,18
Micah Hausler,16,0,1
Michael Austin,199,8,6
Michael D Roach,136,0,1
Michael Dunton,164,0,1
Michael Gîhler,24,17,1
Michael H. Oshita,1,1,1
Michael Handler,130,29,2
Michael Henry,14,12,2
Michael Kuzmin,134,23,3
Michael S. Fischer,2,0,1
Michael Warkentin,1,1,1
Michal Jankowski,178,0,2
Micha? Guminiak,5,1,1
Michel Rasschaert,6,1,1
Mick Pollard,1,1,1
Mickaâl CanÇvet,469,25,8
Mike Ball,1,1,1
Mike Brannigan,24,3,2
Mike Fowler,306,4,6
Mike Helmick,44,0,1
Mike Tougeron,19,4,2
Mike Zupan,9,2,4
Milan Karalic,37,0,1
Mildred Ki'Lya,20,1,1
Minku Lee,1,1,1
Minkyu Kim,3,9,1
Mioi Hanaoka,1,1,1
Mitchell Hashimoto,113264,58897,3009
Modestas Vainius,27,3,2
"Mosley, Franklin",228,4,3
Mudassar Shafique,78,1,2
M†ximo Cuadros,1511,156,5
Nandor Kracser,43,11,1
Naoto Yokoyama,144,0,2
Nashwan Azhari,1036,55,5
Nathan Evans,9,2,1
Nathan McKinley,5,4,1
Nathan Sullivan,6,3,2
Nathan Zadoks,79,0,1
Nevins,69,0,1
Nevins Bartolomeo,3,3,1
Nic Cope,58,4,3
Nic Grayson,2,2,1
Nick Downs,12,0,1
Nick Fagerlund,52,37,6
Nick Johnstone,1,1,1
Nick Laferriere,8,8,3
Nick Santamaria,42,6,2
Nicki Watt,65,53,2
Ninir,1348,591,36
Noah Webb,457,53,9
Nolan Darilek,11,0,1
Nolan Davidson,892,111,4
N†ndor Istv†n Kr†cser,1,1,1
Ola Karlsson,9,0,2
Oleg Butuzov,1,1,1
Oleg Chunikhin,10,5,1
Ollie Ford,19,2,1
Or Elimelech,1,1,1
Oscar Utbult,5,5,1
Otto Jongerius,1547,1406,17
Pablo Cantero,31,11,3
Pablo Lalloni,115,0,1
Paddy,729,506,69
Paddy Carver,1141,322,19
Pam Selle,630,321,75
Panagiotis Moustafellos,245,83,18
Partha Dutta,21,10,1
Parviz,4,1,1
Pasha Palangpour,226,24,3
Patrick Aikens,2,2,1
Patrick Decat,2,2,2
Patrick Gray,886,514,13
Patrick Lee,31,31,1
Patrick Lucas,0,1,1
Patrick SodrÇ,50,2,3
Patrick Van Stee,10,0,2
Paul Bellamy,115,66,2
Paul Forman,139,20,7
Paul Frybarger,7,5,1
Paul Hinze,16498,5844,625
Paul Morton,207,0,1
Paul O'Connor,2,2,2
Paul Stack,18327,9065,1242
Paul Thrasher,508,70,18
Paul Tittle,22,0,2
Paul Tyng,1329,53,26
PaulAtkins,374,0,1
Paulo Eduardo Deininger Messias Alves,1,0,1
Paulo Schreiner,68,5,2
Pavel Khusainov,52,0,1
Pawel Burchard,2,0,1
Pawe? Socha,51,38,3
Pete Hodgson,85,6,3
Pete Shima,15,1,1
Pete Wildsmith,27,6,2
Peter Beams,679,369,11
Peter Dave Hello,1,1,1
Peter Goodman,68,0,1
Peter Hollows,1,1,1
Peter McAtominey,4409,878,58
Petr Artamonov,5,2,2
Phil Frost,1548,103,16
Phil Kates,1,1,1
Philip Witty,333,13,2
Philipp Pre·,6,1,2
Philippe Muller,1,1,1
Pierre Carrier,163,47,2
Pierre-Alain TORET,1,1,1
Piotr Komborski,30,14,1
Piotrek Bzdyl,436,0,1
Poney baker,1,1,1
