author,added,deleted,commits
kayrus,49,19,1
kmoe,3,0,1
kt,11,5,2
kyhavlov,206,37,1
lalyos,2,2,1
liamjbennett,1696,86,3
lian,8,0,1
lstolyarov,3,2,1
lwilliams-oats,7,1,1
macheins,5,1,1
mathematician,68,0,1
mdeboercw,328,28,2
mizuno,24,0,1
mjsteger,3,8,1
myoung34,25,0,1
netjunki,52,18,12
nevins-b,130,49,1
nextrevision,258,4,2
oleksandr.bushkovskyi,22,17,1
pat,213,0,1
pauljrob,1,1,1
pbthorste,24,3,4
peay,56,8,1
protomouse,390,69,4
protondonor,5,1,2
qivers,1,1,1
r_takaishi,36,0,1
raylu,30,27,1
rdark,45,11,1
rmenn,1,1,1
rv-jmaggio,44,20,5
ryane,167,27,7
samjwlee,1,1,1
shanoor,2,2,1
shin1x1,1,1,1
sixcorners,1,1,1
skfmu,15,8,1
smasue,2,0,1
snakeb1t,26,2,2
sneha somwanshi,8,0,1
stack72,15013,2480,391
stevehorsfield,213,36,2
stumbaumr,2,2,1
stungtoat,56,41,6
terraformbot,1,0,1
tf-release-bot,173,159,29
thetuxkeeper,403,485,8
thrashr888,11,1,1
tinocode,1,1,1
tmatias,2,2,2
tombuildsstuff,797,549,34
toshihisa,2,2,1
tpoindessous,1,1,1
travertischio,10,8,2
trung,17,0,1
vagrant,7,0,1
vince rosso,153,82,2
wangyue,6892,0,1
wata_mac,57,10,4
yanndegat,1644,4,3
yissachar,1060,0,1
yn,40,10,2
yuanye,135,14,1
zbikmarc,15,3,1
zimbatm,18,10,1
zollie,19,2,2
zpatrick,36,16,2
?ukasz Jan Niemier,8,0,1
