author,label,added,deleted,commits
Ben Lau,0,9,9,5
Ben Marini,0,134,0,1
Ben Slusky,0,33,5,1
Benjamin Boudreau,0,1,1,1
Benjamin Chelli,0,4,0,1
Benjamin Lau,0,7,3,3
Benjamin Pineau,0,15,0,1
Benjamin Vickers,0,316,0,1
Benjamin vickers,0,174,24,1
Bernerd Schaefer,0,231,7,6
Bill Fumerola,0,4,3,3
Bill Maxwell,0,244,101,1
Blake Smith,0,10,0,1
BobVanB,0,25,0,1
Bobby DeVeaux,0,330,39,8
Bodo Petermann,0,1,1,1
Borgstrom ?,0,200,0,2
Borys Pierov,0,1,1,1
Brad Larson,0,2,2,2
Brad Sickles,0,1000,214,7
Brandon Clodius,0,10,1,2
Brandon Rochon,0,6,1,2
Brandon Siegel,0,9,0,2
Brandon Tosch,0,935,553,25
Brendan Shaklovitz,0,468,9,1
Brett Mack,0,1825,508,14
Brian Antonelli,0,1,1,1
Brian Cain,0,1,1,1
Brian Cervenka,0,7,0,1
Brian Chen,0,648,5,1
Brian Edwards,0,233,1,1
Brian Flad,0,1291,3857,54
Brian Hahn,0,9,9,1
Brian Hicks,0,439,11,3
Brian Menges,0,9,1,1
Brian Williams,0,86,28,1
Bruno Miguel Custodio,0,534,59,14
Bruno Tavares,0,0,8,1
Bryan Burgers,0,40,19,1
Bryce Kahle,0,13,0,1
Buck Ryan,0,0,3,1
Caio Filipini,0,240,85,5
Calle Pettersson,0,11,2,3
Calum Lacroix,0,3,0,1
Calvin French-Owen,0,1,0,1
Cameron Childress,0,2,0,1
Cameron Stokes,0,81,6,3
Cameron Watters,0,125,0,1
Cameron Wood,0,144,0,2
Camilo Aguilar,0,538,2,4
Carl Youngblood,0,10,4,1
Carles Figuerola,0,198,49,5
Carlos A Becker,0,6,4,1
Carlos Diaz-Padron,0,26,13,2
Carlos Sanchez,0,62,14,4
Cedric Brandily,0,28,11,1
Charles Kenney,0,4,1,1
Chase,0,1,1,1
Chase Adams,0,1,1,1
Chiradeep Vittal,0,8,6,2
Chris Bednarski,0,830,66,13
Chris Broglie,0,235,28,2
Chris Buben,0,18,0,1
Chris Busbey,0,2,2,1
Chris Doherty,0,22,1,4
Chris Johnson,0,881,383,9
Chris Kent,0,117,20,1
Chris Love,0,328,99,15
Chris Marchesi,0,5171,774,92
Chris Paris,0,5,0,1
Chris Trotman,0,35,3,1
Christian Berendt,0,573,393,8
Christian Hildebrando Hercules,0,1,1,1
Christian Karlsen,0,4,2,1
Christian Pearce,0,25,21,1
Christoffer Kylvg,0,66,5,2
Christoph Blecker,0,203,81,33
Christoph Kappel,0,19,0,1
Christoph Tavan,0,210,4,3
Christophe van de Kerchove,0,2,0,2
Christopher Elkins,0,8,0,1
Christopher Tiwald,0,1859,23,17
Cliff Pracht,0,7,2,1
Clint,0,5908,813,423
Clint Shryock,0,11514,6195,276
Colin Fowler,0,15,4,1
Colin Hebert,0,639,105,23
Colin Moller,0,45,9,2
Colin Saliceti,0,19,6,2
Colin Wood,0,971,189,8
Colin Woodbury,0,1,1,1
Conor Mongey,0,301,15,5
