entity,soc
terraform/testdata/graph-count/main.tf,3771
terraform/testdata/graph-count-var-resource/main.tf,3771
terraform/testdata/graph-builder-plan-target-module-provider/main.tf,3771
terraform/testdata/graph-builder-plan-target-module-provider/child2/main.tf,3771
terraform/testdata/graph-builder-plan-target-module-provider/child1/main.tf,3771
terraform/testdata/graph-builder-plan-dynblock/dynblock.tf,3771
terraform/testdata/graph-builder-plan-basic/main.tf,3771
terraform/testdata/graph-builder-plan-attr-as-blocks/attr-as-blocks.tf,3771
terraform/testdata/graph-builder-orphan-deps/main.tf,3771
terraform/testdata/graph-builder-multi-level-module/main.tf,3771
terraform/testdata/graph-builder-multi-level-module/foo/main.tf,3771
terraform/testdata/graph-builder-multi-level-module/foo/bar/main.tf,3771
terraform/testdata/graph-builder-modules/main.tf,3771
terraform/testdata/graph-builder-modules/consul/main.tf,3771
terraform/testdata/graph-builder-cbd-non-cbd/main.tf,3771
terraform/testdata/graph-builder-basic/main.tf,3771
terraform/testdata/graph-builder-apply-target-module/main.tf,3771
terraform/testdata/graph-builder-apply-target-module/child2/main.tf,3771
terraform/testdata/graph-builder-apply-target-module/child1/main.tf,3771
terraform/testdata/graph-builder-apply-provisioner/main.tf,3771
terraform/testdata/graph-builder-apply-module-destroy/main.tf,3771
terraform/testdata/graph-builder-apply-module-destroy/A/main.tf,3771
terraform/testdata/graph-builder-apply-double-cbd/main.tf,3771
terraform/testdata/graph-builder-apply-dep-cbd/main.tf,3771
terraform/testdata/graph-builder-apply-count/main.tf,3771
terraform/testdata/graph-builder-apply-basic/main.tf,3771
terraform/testdata/graph-builder-apply-basic/child/main.tf,3771
terraform/testdata/graph-basic/main.tf,3771
terraform/testdata/empty/main.tf,3771
terraform/testdata/empty-with-child-module/root.tf,3771
terraform/testdata/empty-with-child-module/grandchild/grandchild.tf,3771
terraform/testdata/empty-with-child-module/child/child.tf,3771
terraform/testdata/destroy-module-with-provider/mod/main.tf,3771
terraform/testdata/destroy-module-with-provider/main.tf,3771
terraform/testdata/context-required-version/main.tf,3771
terraform/testdata/context-required-version-module/main.tf,3771
terraform/testdata/context-required-version-module/child/main.tf,3771
terraform/testdata/apply-vars/main.tf,3771
