entity,n-authors,n-revs
builtin/providers/aws/resource_aws_sns_topic_subscription.go,9,19
terraform/graphtype_string.go,9,19
builtin/providers/statuscake/resource_statuscaketest.go,9,17
builtin/providers/azurerm/resource_arm_network_security_group.go,9,17
builtin/providers/google/resource_compute_address.go,9,16
builtin/providers/azurerm/resource_arm_local_network_gateway.go,9,16
builtin/providers/aws/resource_aws_cloudformation_stack.go,9,16
builtin/providers/aws/resource_aws_iam_server_certificate.go,9,16
builtin/providers/aws/resource_aws_route53_health_check.go,9,15
builtin/providers/azurerm/resource_arm_cdn_profile.go,9,14
builtin/providers/aws/resource_aws_iam_group.go,9,14
builtin/providers/aws/resource_aws_iam_policy.go,9,14
builtin/providers/google/resource_compute_project_metadata.go,9,14
builtin/providers/aws/data_source_aws_ami.go,9,13
builtin/providers/aws/resource_aws_vpc_dhcp_options.go,9,13
builtin/providers/aws/resource_aws_db_option_group.go,9,12
builtin/providers/github/provider.go,9,11
builtin/providers/google/resource_compute_autoscaler.go,9,11
builtin/providers/digitalocean/resource_digitalocean_ssh_key.go,9,10
builtin/providers/docker/resource_docker_image_funcs.go,9,10
builtin/providers/aws/resource_aws_iam_role_policy.go,9,10
helper/plugin/grpc_provider.go,8,108
terraform/transform_provider.go,8,93
lang/functions.go,8,78
terraform/interpolate.go,8,74
terraform/eval_state.go,8,64
backend/local/backend.go,8,54
command/hook_ui.go,8,50
terraform/node_data_refresh.go,8,41
version.go,8,40
terraform/graph_config_node_resource.go,8,40
terraform/plan.go,8,38
config/interpolate_walk.go,8,36
builtin/providers/terraform/data_source_state.go,8,34
backend/remote/backend_plan.go,8,34
command/state_mv.go,8,33
builtin/providers/aws/resource_aws_elastic_beanstalk_environment.go,8,31
config/loader.go,8,31
builtin/providers/openstack/resource_openstack_lb_vip_v1.go,8,25
builtin/providers/cloudstack/resources.go,8,24
command/command.go,8,24
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,8,22
backend/remote-state/gcs/backend.go,8,22
registry/client.go,8,21
builtin/providers/openstack/resource_openstack_fw_firewall_v1.go,8,20
helper/resource/testing_import_state.go,8,19
builtin/providers/consul/resource_consul_keys.go,8,19
builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,8,19
builtin/providers/google/resource_compute_vpn_tunnel.go,8,18
helper/schema/provisioner.go,8,17
builtin/providers/postgresql/config.go,8,17
builtin/providers/aws/resource_aws_ecs_task_definition.go,8,16
builtin/providers/aws/resource_aws_key_pair.go,8,16
command/remote_config.go,8,15
builtin/providers/digitalocean/resource_digitalocean_floating_ip.go,8,14
builtin/providers/heroku/provider.go,8,14
builtin/providers/azurerm/resource_arm_template_deployment.go,8,14
builtin/providers/aws/autoscaling_tags.go,8,13
builtin/providers/aws/resource_aws_customer_gateway.go,8,13
builtin/providers/aws/resource_aws_iam_policy_attachment.go,8,13
builtin/providers/azurerm/resource_arm_route_table.go,8,13
config/resource_mode_string.go,8,12
builtin/providers/heroku/resource_heroku_drain.go,8,12
builtin/providers/azurerm/resource_arm_cdn_endpoint.go,8,12
builtin/providers/aws/resource_aws_ssm_document.go,8,11
backend/local/counthookaction_string.go,8,11
