entity,n-authors,n-revs
builtin/providers/triton/resource_machine_test.go,9,15
builtin/providers/azurerm/resource_arm_template_deployment_test.go,9,15
builtin/providers/aws/resource_aws_route53_health_check.go,9,15
builtin/providers/aws/resource_aws_sqs_queue_test.go,9,14
builtin/providers/azurerm/resource_arm_cdn_profile.go,9,14
builtin/providers/aws/resource_aws_iam_group.go,9,14
builtin/providers/aws/resource_aws_iam_policy.go,9,14
builtin/providers/azurerm/resource_arm_public_ip_test.go,9,14
builtin/providers/aws/resource_aws_cloudfront_distribution_test.go,9,14
builtin/providers/google/resource_compute_project_metadata.go,9,14
builtin/providers/aws/resource_aws_route53_health_check_test.go,9,14
builtin/providers/aws/data_source_aws_ami.go,9,13
builtin/providers/aws/resource_aws_kinesis_stream_test.go,9,13
builtin/providers/aws/resource_aws_vpc_endpoint_test.go,9,13
builtin/providers/aws/resource_aws_vpc_dhcp_options.go,9,13
builtin/providers/aws/resource_aws_iam_role_policy_test.go,9,12
builtin/providers/aws/resource_aws_db_option_group.go,9,12
builtin/providers/aws/resource_aws_db_option_group_test.go,9,12
builtin/providers/digitalocean/resource_digitalocean_ssh_key_test.go,9,12
builtin/providers/github/provider.go,9,11
builtin/providers/google/resource_compute_autoscaler.go,9,11
builtin/providers/digitalocean/resource_digitalocean_ssh_key.go,9,10
builtin/providers/docker/resource_docker_image_funcs.go,9,10
builtin/providers/aws/resource_aws_iam_role_policy.go,9,10
helper/plugin/grpc_provider.go,8,140
terraform/transform_provider.go,8,134
terraform/eval_state.go,8,100
terraform/context_refresh_test.go,8,97
terraform/interpolate.go,8,83
terraform/node_data_refresh.go,8,72
backend/local/backend.go,8,68
command/hook_ui.go,8,63
terraform/graph_builder_plan_test.go,8,57
terraform/plan.go,8,48
builtin/providers/terraform/data_source_state.go,8,47
version.go,8,41
terraform/graph_config_node_resource.go,8,40
command/state_mv.go,8,39
command/meta_test.go,8,34
backend/remote/backend_plan.go,8,34
builtin/providers/aws/resource_aws_elastic_beanstalk_environment.go,8,31
helper/resource/testing_import_state.go,8,30
backend/remote-state/s3/backend_test.go,8,29
registry/client.go,8,29
helper/schema/provisioner.go,8,28
builtin/providers/terraform/data_source_state_test.go,8,27
builtin/providers/openstack/resource_openstack_lb_vip_v1.go,8,25
builtin/providers/cloudstack/resources.go,8,24
command/command.go,8,24
builtin/provisioners/chef/resource_provisioner_test.go,8,24
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,8,22
backend/remote-state/gcs/backend.go,8,22
builtin/providers/openstack/resource_openstack_fw_firewall_v1.go,8,20
config/module/module_test.go,8,20
lang/functions_test.go,8,19
builtin/providers/consul/resource_consul_keys.go,8,19
builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,8,19
builtin/providers/openstack/provider_test.go,8,18
builtin/providers/google/resource_compute_vpn_tunnel.go,8,18
builtin/providers/datadog/resource_datadog_monitor_test.go,8,18
builtin/providers/google/resource_sql_database_instance_test.go,8,18
builtin/providers/azure/provider_test.go,8,17
builtin/providers/postgresql/config.go,8,17
builtin/providers/aws/resource_aws_elasticache_replication_group_test.go,8,16
builtin/providers/aws/resource_aws_ecs_task_definition.go,8,16
helper/schema/field_reader_map_test.go,8,16
builtin/providers/aws/resource_aws_ecs_task_definition_test.go,8,16
builtin/providers/aws/resource_aws_key_pair.go,8,16
builtin/providers/aws/resource_aws_opsworks_custom_layer_test.go,8,16
builtin/providers/aws/resource_aws_spot_fleet_request_test.go,8,15
command/remote_config.go,8,15
builtin/providers/aws/resource_aws_alb_test.go,8,15
builtin/providers/aws/resource_aws_customer_gateway_test.go,8,14
builtin/providers/digitalocean/resource_digitalocean_floating_ip.go,8,14
builtin/providers/heroku/provider.go,8,14
builtin/providers/azurerm/resource_arm_network_security_group_test.go,8,14
builtin/providers/azurerm/resource_arm_template_deployment.go,8,14
builtin/providers/aws/resource_aws_iam_group_test.go,8,14
config/resource_mode_string.go,8,13
builtin/providers/aws/autoscaling_tags.go,8,13
builtin/providers/aws/resource_aws_iam_group_membership_test.go,8,13
builtin/providers/aws/resource_aws_customer_gateway.go,8,13
builtin/providers/azurerm/resource_arm_route_table_test.go,8,13
builtin/providers/aws/resource_aws_iam_policy_attachment.go,8,13
builtin/providers/azurerm/resource_arm_network_interface_card_test.go,8,13
builtin/providers/azurerm/resource_arm_route_table.go,8,13
builtin/providers/heroku/resource_heroku_domain_test.go,8,12
builtin/providers/aws/resource_aws_iam_server_certificate_test.go,8,12
builtin/providers/heroku/resource_heroku_drain.go,8,12
builtin/providers/aws/resource_aws_iam_user_test.go,8,12
builtin/providers/aws/resource_aws_kinesis_firehose_delivery_stream_test.go,8,12
builtin/providers/azurerm/resource_arm_cdn_endpoint.go,8,12
builtin/providers/azurerm/resource_arm_cdn_endpoint_test.go,8,12
builtin/providers/aws/resource_aws_ssm_document.go,8,11
backend/local/counthookaction_string.go,8,11
builtin/providers/azurerm/resource_arm_local_network_gateway_test.go,8,11
backend/operationtype_string.go,8,11
builtin/providers/heroku/resource_heroku_drain_test.go,8,11
.github/CONTRIBUTING.md,8,11
builtin/providers/azurerm/resource_arm_storage_account_test.go,8,11
builtin/providers/azurerm/resource_arm_subnet_test.go,8,11
builtin/providers/aws/auth_helpers_test.go,8,11
builtin/providers/consul/config.go,8,11
builtin/providers/google/resource_compute_autoscaler_test.go,8,10
builtin/providers/vsphere/provider.go,8,10
builtin/providers/azurerm/resource_arm_route.go,8,10
builtin/providers/aws/resource_aws_iam_instance_profile_test.go,8,10
builtin/providers/google/resource_compute_instance_group.go,8,10
builtin/providers/aws/resource_aws_api_gateway_api_key.go,8,10
builtin/providers/aws/opsworks_layers.go,8,10
builtin/providers/aws/import_aws_security_group.go,8,10
helper/acctest/random.go,8,10
builtin/providers/aws/resource_aws_autoscaling_lifecycle_hook_test.go,8,10
builtin/providers/google/resource_dns_managed_zone.go,8,9
builtin/providers/google/resource_pubsub_subscription.go,8,9
builtin/providers/aws/hosted_zones.go,8,9
command/workspace_command.go,8,9
builtin/providers/digitalocean/resource_digitalocean_domain_test.go,8,8
builtin/providers/azurerm/resource_arm_servicebus_namespace_test.go,8,8
lang/funcs/collection_test.go,7,160
terraform/eval_context_builtin.go,7,137
terraform/node_resource_abstract.go,7,97
command/format/diff.go,7,75
backend/local/backend_apply.go,7,72
terraform/node_resource_refresh.go,7,58
backend/local/backend_plan_test.go,7,57
builtin/providers/aws/resources.go,7,56
terraform/resource_address.go,7,52
config/raw_config.go,7,46
command/untaint.go,7,44
command/import_test.go,7,43
