entity,coupled,degree,average-revs
builtin/providers/cloudstack/resource_cloudstack_firewall.go,builtin/providers/cloudstack/resources.go,37,19
builtin/providers/cloudstack/resource_cloudstack_firewall.go,builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,41,15
builtin/providers/cloudstack/resource_cloudstack_firewall.go,builtin/providers/cloudstack/resource_cloudstack_port_forward.go,44,18
builtin/providers/cloudstack/resource_cloudstack_firewall.go,builtin/providers/cloudstack/resource_cloudstack_nic.go,47,11
builtin/providers/cloudstack/resource_cloudstack_firewall.go,builtin/providers/cloudstack/resource_cloudstack_network_acl_rule.go,81,16
builtin/providers/cloudstack/resource_cloudstack_instance.go,builtin/providers/cloudstack/resources.go,35,29
builtin/providers/cloudstack/resource_cloudstack_instance.go,builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,36,25
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resources.go,31,19
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resource_cloudstack_network.go,36,19
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resource_cloudstack_vpc.go,41,17
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resource_cloudstack_network_acl_rule.go,42,17
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resource_cloudstack_port_forward.go,43,19
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resource_cloudstack_network_acl.go,43,12
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resource_cloudstack_nic.go,45,11
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,builtin/providers/cloudstack/resource_cloudstack_secondary_ipaddress.go,50,10
builtin/providers/cloudstack/resource_cloudstack_network_acl_rule.go,builtin/providers/cloudstack/resources.go,34,21
builtin/providers/cloudstack/resource_cloudstack_network_acl_rule.go,builtin/providers/cloudstack/resource_cloudstack_port_forward.go,40,20
builtin/providers/cloudstack/resource_cloudstack_network_acl.go,builtin/providers/cloudstack/resource_cloudstack_vpc.go,37,14
builtin/providers/cloudstack/resource_cloudstack_network_acl.go,builtin/providers/cloudstack/resource_cloudstack_network_acl_rule.go,38,13
builtin/providers/cloudstack/resource_cloudstack_network_acl.go,builtin/providers/cloudstack/resource_cloudstack_nic.go,66,8
builtin/providers/cloudstack/resource_cloudstack_network.go,builtin/providers/cloudstack/resource_cloudstack_port_forward.go,31,23
builtin/providers/cloudstack/resource_cloudstack_network.go,builtin/providers/cloudstack/resource_cloudstack_nic.go,33,15
builtin/providers/cloudstack/resource_cloudstack_network.go,builtin/providers/cloudstack/resource_cloudstack_vpc.go,42,21
builtin/providers/cloudstack/resource_cloudstack_network.go,builtin/providers/cloudstack/resource_cloudstack_network_acl.go,45,16
builtin/providers/cloudstack/resource_cloudstack_nic.go,builtin/providers/cloudstack/resources.go,33,15
builtin/providers/cloudstack/resource_cloudstack_nic.go,builtin/providers/cloudstack/resource_cloudstack_port_forward.go,34,15
builtin/providers/cloudstack/resource_cloudstack_nic.go,builtin/providers/cloudstack/resource_cloudstack_vpc.go,38,13
builtin/providers/cloudstack/resource_cloudstack_port_forward.go,builtin/providers/cloudstack/resources.go,35,23
builtin/providers/cloudstack/resource_cloudstack_port_forward.go,builtin/providers/cloudstack/resource_cloudstack_secondary_ipaddress.go,37,14
builtin/providers/cloudstack/resource_cloudstack_template.go,builtin/providers/cloudstack/resources.go,41,20
builtin/providers/consul/config.go,builtin/providers/consul/resource_provider.go,38,16
builtin/providers/consul/data_source_consul_catalog_nodes.go,builtin/providers/consul/utils.go,62,8
builtin/providers/digitalocean/resource_digitalocean_domain.go,builtin/providers/digitalocean/resource_digitalocean_record.go,44,14
builtin/providers/docker/config.go,builtin/providers/docker/provider.go,62,8
builtin/providers/docker/resource_docker_container.go,builtin/providers/docker/resource_docker_container_funcs.go,64,33
builtin/providers/google/config.go,builtin/providers/google/provider.go,42,62
builtin/providers/google/resource_compute_address.go,builtin/providers/google/resource_compute_disk.go,30,17
builtin/providers/google/resource_compute_address.go,builtin/providers/google/resource_compute_network.go,37,14
builtin/providers/google/resource_compute_address.go,builtin/providers/google/resource_compute_firewall.go,37,14
builtin/providers/google/resource_compute_address.go,builtin/providers/google/resource_compute_target_pool.go,43,12
builtin/providers/google/resource_compute_address.go,builtin/providers/google/resource_compute_route.go,48,13
builtin/providers/google/resource_compute_address.go,builtin/providers/google/resource_compute_forwarding_rule.go,52,12
builtin/providers/google/resource_compute_firewall.go,builtin/providers/google/resource_compute_network.go,37,16
builtin/providers/google/resource_compute_firewall.go,builtin/providers/google/resource_compute_route.go,40,15
builtin/providers/google/resource_compute_forwarding_rule.go,builtin/providers/google/resource_compute_target_pool.go,41,12
builtin/providers/google/resource_compute_network.go,builtin/providers/google/resource_compute_route.go,33,15
builtin/providers/heroku/resource_heroku_addon.go,builtin/providers/heroku/resource_heroku_drain.go,37,14
builtin/providers/heroku/resource_heroku_domain.go,builtin/providers/heroku/resource_heroku_drain.go,57,11
builtin/providers/kubernetes/provider.go,builtin/providers/kubernetes/validators.go,55,9
