entity,n-authors,n-revs,soc,robot-type
builtin/providers/azurerm/resource_arm_template_deployment.go,8.0,14.0,2488.0,1
builtin/providers/aws/autoscaling_tags.go,8.0,13.0,2673.0,1
builtin/providers/aws/resource_aws_customer_gateway.go,8.0,13.0,2762.0,1
builtin/providers/aws/resource_aws_iam_policy_attachment.go,8.0,13.0,2483.0,1
builtin/providers/azurerm/resource_arm_route_table.go,8.0,13.0,2659.0,1
config/resource_mode_string.go,8.0,12.0,694.0,0
builtin/providers/heroku/resource_heroku_drain.go,8.0,12.0,2436.0,1
builtin/providers/azurerm/resource_arm_cdn_endpoint.go,8.0,12.0,2675.0,1
builtin/providers/aws/resource_aws_ssm_document.go,8.0,11.0,2347.0,1
backend/local/counthookaction_string.go,8.0,11.0,149.0,0
backend/operationtype_string.go,8.0,11.0,134.0,0
.github/CONTRIBUTING.md,8.0,11.0,34.0,0
builtin/providers/consul/config.go,8.0,11.0,2357.0,1
builtin/providers/vsphere/provider.go,8.0,10.0,2344.0,1
builtin/providers/azurerm/resource_arm_route.go,8.0,10.0,2618.0,1
builtin/providers/google/resource_compute_instance_group.go,8.0,10.0,2465.0,1
builtin/providers/aws/resource_aws_api_gateway_api_key.go,8.0,10.0,2408.0,1
builtin/providers/aws/opsworks_layers.go,8.0,10.0,2343.0,1
builtin/providers/aws/import_aws_security_group.go,8.0,10.0,2352.0,1
helper/acctest/random.go,8.0,10.0,979.0,0
builtin/providers/google/resource_dns_managed_zone.go,8.0,9.0,2484.0,1
builtin/providers/google/resource_pubsub_subscription.go,8.0,9.0,2443.0,1
builtin/providers/aws/hosted_zones.go,8.0,9.0,2341.0,1
command/workspace_command.go,8.0,9.0,110.0,0
terraform/eval_context_builtin.go,7.0,79.0,4318.0,2
builtin/providers/aws/resources.go,7.0,56.0,139.0,0
terraform/node_resource_abstract.go,7.0,56.0,3565.0,2
backend/local/backend_apply.go,7.0,55.0,2400.0,1
command/format/diff.go,7.0,52.0,181.0,0
config/raw_config.go,7.0,41.0,899.0,0
terraform/resource_address.go,7.0,40.0,2634.0,1
terraform/transform_orphan.go,7.0,38.0,217.0,0
terraform/node_resource_refresh.go,7.0,37.0,3276.0,2
command/untaint.go,7.0,35.0,2400.0,1
command/state_show.go,7.0,26.0,1550.0,1
command/state_rm.go,7.0,24.0,1219.0,0
terraform/transform_config.go,7.0,23.0,1856.0,1
command/console.go,7.0,23.0,1505.0,1
command/providers.go,7.0,22.0,1761.0,1
command/state_list.go,7.0,22.0,1553.0,1
terraform/evaltree_provider.go,7.0,22.0,2051.0,1
backend/remote/testing.go,7.0,20.0,343.0,0
builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,7.0,20.0,2600.0,1
builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,7.0,18.0,2602.0,1
builtin/providers/aws/resource_aws_elasticache_replication_group.go,7.0,18.0,2342.0,1
builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,7.0,18.0,2602.0,1
builtin/providers/azure/config.go,7.0,17.0,2449.0,1
builtin/providers/aws/resource_aws_route_table_association.go,7.0,17.0,2812.0,1
state/remote/http.go,7.0,17.0,56.0,0
builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,7.0,17.0,2584.0,1
communicator/winrm/communicator.go,7.0,16.0,29.0,0
builtin/provisioners/local-exec/resource_provisioner.go,7.0,15.0,18.0,0
state/remote/atlas.go,7.0,15.0,41.0,0
helper/ssh/provisioner.go,7.0,15.0,37.0,0
builtin/providers/aws/resource_aws_alb_target_group.go,7.0,14.0,2340.0,1
flatmap/expand.go,7.0,14.0,184.0,0
tools/terraform-bundle/package.go,7.0,14.0,33.0,0
builtin/providers/openstack/resource_openstack_fw_rule_v1.go,7.0,13.0,2462.0,1
builtin/providers/aws/resource_aws_cloudtrail.go,7.0,13.0,2351.0,1
builtin/providers/atlas/resource_artifact.go,7.0,12.0,2362.0,1
builtin/providers/heroku/resource_heroku_domain.go,7.0,12.0,2377.0,1
builtin/providers/docker/provider.go,7.0,12.0,2350.0,1
builtin/providers/aws/resource_aws_kms_alias.go,7.0,11.0,2338.0,1
command/get.go,7.0,11.0,235.0,0
builtin/providers/azurerm/resource_arm_network_security_rule.go,7.0,11.0,2617.0,1
helper/ssh/communicator.go,7.0,11.0,47.0,0
builtin/providers/google/resource_compute_subnetwork.go,7.0,11.0,2484.0,1
builtin/providers/google/resource_compute_vpn_gateway.go,7.0,11.0,2550.0,1
builtin/providers/aws/resource_aws_cloudwatch_metric_alarm.go,7.0,11.0,2402.0,1
builtin/providers/aws/resource_aws_codecommit_repository.go,7.0,11.0,2336.0,1
builtin/providers/aws/resource_aws_lb_cookie_stickiness_policy.go,7.0,11.0,2578.0,1
builtin/providers/google/resource_storage_bucket_object.go,7.0,11.0,2471.0,1
builtin/providers/aws/resource_aws_network_acl_rule.go,7.0,11.0,2386.0,1
builtin/providers/aws/resource_aws_api_gateway_domain_name.go,7.0,10.0,2337.0,1
builtin/providers/aws/resource_aws_api_gateway_integration_response.go,7.0,10.0,2401.0,1
command/version.go,7.0,10.0,59.0,0
builtin/providers/aws/resource_aws_autoscaling_policy.go,7.0,10.0,2375.0,1
builtin/providers/aws/resource_aws_cloudwatch_event_rule.go,7.0,10.0,2388.0,1
builtin/providers/aws/resource_aws_autoscaling_schedule.go,7.0,10.0,2337.0,1
builtin/providers/azurerm/resource_arm_storage_blob.go,7.0,9.0,2455.0,1
builtin/providers/aws/resource_aws_autoscaling_lifecycle_hook.go,7.0,9.0,2383.0,1
builtin/providers/aws/resource_aws_elasticache_parameter_group.go,7.0,9.0,2467.0,1
examples/aws-two-tier/README.md,7.0,9.0,169.0,0
builtin/providers/azurerm/resource_arm_servicebus_namespace.go,7.0,9.0,2504.0,1
scripts/generate-plugins.go,7.0,9.0,2906.0,1
builtin/providers/azure/resource_azure_storage_blob.go,7.0,9.0,2520.0,1
builtin/providers/aws/resource_aws_db_event_subscription.go,7.0,8.0,2344.0,1
builtin/providers/rundeck/resource_job.go,7.0,8.0,2395.0,1
helper/schema/testing.go,7.0,8.0,1463.0,1
CONTRIBUTING.md,7.0,8.0,11.0,0
builtin/providers/google/resource_dns_record_set.go,7.0,8.0,2484.0,1
builtin/providers/google/service_scope.go,7.0,7.0,2326.0,1
contrib/zsh-completion/_terraform,7.0,7.0,33.0,0
builtin/providers/aws/resource_aws_opsworks_application.go,7.0,7.0,2353.0,1
terraform/graph_builder_apply.go,6.0,84.0,3663.0,2
config/module/tree.go,6.0,64.0,760.0,0
terraform/graph_builder_plan.go,6.0,63.0,3484.0,2
terraform/graph_walk_context.go,6.0,56.0,3610.0,2
backend/local/backend_plan.go,6.0,52.0,2434.0,1
terraform/node_resource_plan.go,6.0,46.0,3198.0,2
command/meta_backend_migrate.go,6.0,45.0,1465.0,1
terraform/eval_provider.go,6.0,45.0,3385.0,2
terraform/node_resource_plan_instance.go,6.0,44.0,3412.0,2
terraform/resource_provider_mock.go,6.0,42.0,1184.0,0
backend/remote/backend_mock.go,6.0,41.0,408.0,0
terraform/eval_context.go,6.0,40.0,3762.0,2
